,track_uri,track_name,track_artist,added_at,duration_ms,popularity,album_name,album_release_date,preview_url
26,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),"['J. Cole', '21 Savage', 'Morray']",2021-09-20T13:30:10Z,218801,81,The Off-Season,2021-05-14,https://p.scdn.co/mp3-preview/89cac290533add6fca114ba375697fa97bd267f1?cid=177f383b7c5047d1aaab4bc9a7e22a05
27,spotify:track:5NRCNo7S8HP7nxYIPxemwp,DO YOU LOVE HER,['Jessie Reyez'],2021-09-20T12:40:55Z,196493,49,BEFORE LOVE CAME TO KILL US,2020-03-27,https://p.scdn.co/mp3-preview/02a8aa8fbbdfa65a4d80e26478bee8c0dd68fe15?cid=177f383b7c5047d1aaab4bc9a7e22a05
28,spotify:track:5moRFe7Gq3j2DUpajnbhkl,Stay Woke,['Otc'],2021-09-20T12:16:10Z,192105,44,Clifford,2018-09-08,https://p.scdn.co/mp3-preview/e990d80226159ad751b2e843c07376d83740e984?cid=177f383b7c5047d1aaab4bc9a7e22a05
29,spotify:track:7Csd6ozp0Ci3ZDfvRgzrWz,My Own Way,"['A-Trak', 'Ferreck Dawn']",2021-09-20T12:02:43Z,141000,49,My Own Way,2021-01-08,https://p.scdn.co/mp3-preview/a0cbcf516d48f4a59781aa84bffd719d35e2afc1?cid=177f383b7c5047d1aaab4bc9a7e22a05
30,spotify:track:4RtDsnX2POXFbiDaCgkcaq,ROOF,['Jessie Reyez'],2021-09-20T00:47:48Z,105706,49,BEFORE LOVE CAME TO KILL US,2020-03-27,https://p.scdn.co/mp3-preview/bc1ff199276cf0e34b5240c52179371dedb23eca?cid=177f383b7c5047d1aaab4bc9a7e22a05
31,spotify:track:51CeiXQgEq3YD4D6v3GjfB,Tonight,['Kesha'],2021-09-17T13:20:04Z,196040,46,High Road,2020-01-31,https://p.scdn.co/mp3-preview/64233fef9dfecc3b15dfd571ed8ee777b4b064b4?cid=177f383b7c5047d1aaab4bc9a7e22a05
32,spotify:track:27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),"['Mark Ronson', 'Miley Cyrus']",2021-09-17T13:19:04Z,217466,75,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=177f383b7c5047d1aaab4bc9a7e22a05
33,spotify:track:3hnm3SBxKdVT4hKUrKHo2r,Feeling Good - Joel Corry Remix,"['Nina Simone', 'Joel Corry']",2021-09-17T13:09:30Z,189259,60,Feeling Good (Joel Corry Remix),2021-09-15,https://p.scdn.co/mp3-preview/4585b31791109384b03f0bc075adc86875a066c7?cid=177f383b7c5047d1aaab4bc9a7e22a05
34,spotify:track:6VLEVV3KmHCiGHrY9qlXqB,BOSS,['The Carters'],2021-09-17T01:38:34Z,244133,51,EVERYTHING IS LOVE,2018-06-18,https://p.scdn.co/mp3-preview/d832a1550d494e75235cb842c244d32b426717fe?cid=177f383b7c5047d1aaab4bc9a7e22a05
35,spotify:track:62GXGpd73vslqIBHq8XqOx,APESHIT,['The Carters'],2021-09-17T01:38:32Z,264853,64,EVERYTHING IS LOVE,2018-06-18,https://p.scdn.co/mp3-preview/ab8b0397e06448340bdaee986669ba3ccb875017?cid=177f383b7c5047d1aaab4bc9a7e22a05
36,spotify:track:1m5demYkTI5BB9sTx5v13h,713,['The Carters'],2021-09-17T01:38:30Z,193386,44,EVERYTHING IS LOVE,2018-06-18,https://p.scdn.co/mp3-preview/17e3c0bc3b73c18939914981eb3d5fe5d7c130d8?cid=177f383b7c5047d1aaab4bc9a7e22a05
37,spotify:track:4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"['JAY-Z', 'Kanye West']",2021-09-17T01:37:53Z,219333,81,Watch The Throne (Deluxe),2011-08-08,https://p.scdn.co/mp3-preview/c7e04e09ee7acaf839299d05184d7caa00b81946?cid=177f383b7c5047d1aaab4bc9a7e22a05
38,spotify:track:6eiEPJ16dOxe0hME3NWxfP,Kronos - Original Mix,['HI-LO'],2021-09-16T00:40:25Z,287291,52,Kronos,2020-09-21,https://p.scdn.co/mp3-preview/78a4b6e272e3ed3eeefb74bbe64f72527584c658?cid=177f383b7c5047d1aaab4bc9a7e22a05
39,spotify:track:48RoCGs1FNlp8NF3HXW2Wt,Ma Luv,"['Oliver Heldens', 'MorganJ']",2021-09-13T15:38:10Z,170014,56,Ma Luv,2021-06-11,https://p.scdn.co/mp3-preview/da2266b0e05e2849a5305d56a476a78d29c21f84?cid=177f383b7c5047d1aaab4bc9a7e22a05
40,spotify:track:4lvv4prfWf6bSMg54vOtWO,Existencia,"['Reinier Zonneveld', 'HI-LO', 'Oliver Heldens']",2021-09-12T02:09:23Z,278849,50,Existencia,2021-08-06,https://p.scdn.co/mp3-preview/35882f2a87d30941b2447d9121e0a9cf87909fba?cid=177f383b7c5047d1aaab4bc9a7e22a05
41,spotify:track:3TQj0vUT4FDIkIDqhTFPxd,Balearic Mornings,"['HI-LO', 'Reinier Zonneveld', 'Oliver Heldens']",2021-09-12T02:09:10Z,290247,54,Balearic Mornings,2021-07-30,https://p.scdn.co/mp3-preview/c9ce2f076247dee698fd1065fd088a4f4efa03c8?cid=177f383b7c5047d1aaab4bc9a7e22a05
42,spotify:track:5qXn9vIJKNBSUFNwFToEMH,Stratosphere - Ronnie Spiteri Remix,"['Christian Smith', 'Ronnie Spiteri']",2021-09-12T01:19:19Z,478715,34,Stratosphere the Remixes,2021-02-26,https://p.scdn.co/mp3-preview/c406a9cb0a2c2b5c94672ab28d4e58f2914e9eb5?cid=177f383b7c5047d1aaab4bc9a7e22a05
43,spotify:track:2zJ5nuyOQi4jBvToG3HHys,Another Chance,"['Roger Sanchez', 'Oliver Heldens']",2021-09-11T02:51:08Z,254130,62,Another Chance,2021-09-10,https://p.scdn.co/mp3-preview/b54fc8625b9f0e4bdcc0dfb93036cac48faaf7df?cid=177f383b7c5047d1aaab4bc9a7e22a05
44,spotify:track:1MOGJQsVeaRcXY6heJz5UZ,Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit,"['DR. KUCHO!', 'Gregor Salto', 'Ane Brun', 'Oliver Heldens']",2021-09-11T02:46:34Z,157466,57,Can't Stop Playing (Remixes),2005,https://p.scdn.co/mp3-preview/cafa69dfc032891bd8834d9e5eb86fbe72c785db?cid=177f383b7c5047d1aaab4bc9a7e22a05
45,spotify:track:350l5Tkctw6RMcIdl7MlaS,scars,['Baby Keem'],2021-09-11T01:11:00Z,266010,68,The Melodic Blue,2021-09-10,https://p.scdn.co/mp3-preview/6d49fc72c4aa2eada5e451a85e0441de7af2f5f6?cid=177f383b7c5047d1aaab4bc9a7e22a05
46,spotify:track:4nbJh5fj04MJwBcvEP0LQW,Drive (feat. Wes Nelson) - Acoustic,"['Clean Bandit', 'Topic', 'Wes Nelson']",2021-09-10T03:10:05Z,190435,51,Drive (feat. Wes Nelson) [Acoustic],2021-09-10,https://p.scdn.co/mp3-preview/6efc1250932329e8e9c5fd612d577b5b8d97f65a?cid=177f383b7c5047d1aaab4bc9a7e22a05
47,spotify:track:08LwMWf5Tcfsd752EPzFV0,i n t e r l u d e,['J. Cole'],2021-09-08T20:38:59Z,133021,75,The Off-Season,2021-05-14,https://p.scdn.co/mp3-preview/06c40cf54eabbe8fbd2b765cb61636862facbeae?cid=177f383b7c5047d1aaab4bc9a7e22a05
48,spotify:track:6iGPBcdGv5gVGFZiKAGID5,The Night Me and Your Mama Met,['Childish Gambino'],2021-09-07T00:33:03Z,214080,54,"""Awaken, My Love!""",2016-12-02,https://p.scdn.co/mp3-preview/5e4617a9f99c1fa6774e9b34625b3a9af61b0e0c?cid=177f383b7c5047d1aaab4bc9a7e22a05
49,spotify:track:5R691ipUYRDYW6ehapjoj6,9 5 . s o u t h,['J. Cole'],2021-09-06T23:54:39Z,196946,73,The Off-Season,2021-05-14,https://p.scdn.co/mp3-preview/bbb48fc17381e55e0729fd2e1e0c5fabd2f23ea1?cid=177f383b7c5047d1aaab4bc9a7e22a05
