,uri,name,genres,popularity,followers
35,spotify:artist:5YwzDz4RJfTiMHS4tdR5Lf,Xamã,"['brazilian hip hop', 'funk carioca', 'trap brasileiro']",76,1070847
36,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,Alok,"['electro house', 'pop nacional', 'slap house']",82,10618496
37,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,6487556
38,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop']",81,6725067
39,spotify:artist:6veh5zbFpm31XsPdjBgPER,BIA,"['escape room', 'pop', 'r&b', 'rap latina', 'trap queen']",72,192612
40,spotify:artist:7jdFEYD2LTYjfwxOdlVjmc,KALEO,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",72,1334190
41,spotify:artist:1hzfo8twXdOegF3xireCYs,Milky Chance,['german pop'],75,1544160
42,spotify:artist:5nki7yRhxgM509M5ADlN1p,Oliver Heldens,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",73,927796
43,spotify:artist:7GMot9WvBYqhhJz92vhBp6,EDX,"['deep groove house', 'deep house', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'swiss pop', 'tech house', 'tropical house']",62,197197
44,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']",84,12509351
45,spotify:artist:4D75GcNG95ebPtNvoNVXhz,Afrojack,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",77,3737000
46,spotify:artist:2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",70,2328845
47,spotify:artist:5X4LWwbUFNzPkEas04uU82,DVBBS,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",69,934828
48,spotify:artist:0ETJQforv5OXgDgidQv9qd,HI-LO,"['edm', 'electro house', 'house', 'progressive house']",54,76373
49,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",79,8346700
